iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Pipedrive API v1","Delete multiple activities in bulk","DELETE","https://api.pipedrive.com/v1/activities?ids=<string>&api_token=4b809751552328704650aab64be9d16cd628b7924b809751552328704650aab64be9d16cd628b792","Unauthorized","401","2662","116",,,,"0","0","0","0"
"1","Pipedrive API v1","Get all activities assigned to a particular user","GET","https://api.pipedrive.com/v1/activities?user_id=<integer>&filter_id=<integer>&type=<string>&limit=<integer>&start=<integer>&start_date=<date>&end_date=<date>&done=<number>&api_token=4b809751552328704650aab64be9d16cd628b7924b809751552328704650aab64be9d16cd628b792","Unauthorized","401","321","116",,,,"0","0","0","0"
"1","Pipedrive API v1","Add an activity","POST","https://api.pipedrive.com/v1/activities?api_token=4b809751552328704650aab64be9d16cd628b7924b809751552328704650aab64be9d16cd628b792","Unauthorized","401","424","116",,,,"0","0","0","0"
"1","Pipedrive API v1","Get all activities (BETA)","GET","https://api.pipedrive.com/v1/activities/collection?cursor=<string>&limit=<integer>&since=<string>&until=<string>&user_id=<integer>&done=<boolean>&type=<string>&api_token=4b809751552328704650aab64be9d16cd628b7924b809751552328704650aab64be9d16cd628b792","Unauthorized","401","792","116",,,,"0","0","0","0"
"1","Pipedrive API v1","Delete an activity","DELETE","https://api.pipedrive.com/v1/activities/<integer>?api_token=4b809751552328704650aab64be9d16cd628b7924b809751552328704650aab64be9d16cd628b792","Unauthorized","401","560","116",,,,"0","0","0","0"
"1","Pipedrive API v1","Get details of an activity","GET","https://api.pipedrive.com/v1/activities/<integer>?api_token=4b809751552328704650aab64be9d16cd628b7924b809751552328704650aab64be9d16cd628b792","Unauthorized","401","425","116",,,,"0","0","0","0"
"1","Pipedrive API v1","Update an activity","PUT","https://api.pipedrive.com/v1/activities/<integer>?api_token=4b809751552328704650aab64be9d16cd628b7924b809751552328704650aab64be9d16cd628b792","Unauthorized","401","419","116",,,,"0","0","0","0"
"1","Pipedrive API v1","Get all activity fields","GET","https://api.pipedrive.com/v1/activityFields?api_token=4b809751552328704650aab64be9d16cd628b7924b809751552328704650aab64be9d16cd628b792","Unauthorized","401","190","116",,,,"0","0","0","0"
"1","Pipedrive API v1","Delete multiple activity types in bulk","DELETE","https://api.pipedrive.com/v1/activityTypes?ids=<string>&api_token=4b809751552328704650aab64be9d16cd628b7924b809751552328704650aab64be9d16cd628b792","Unauthorized","401","658","116",,,,"0","0","0","0"
"1","Pipedrive API v1","Get all activity types","GET","https://api.pipedrive.com/v1/activityTypes?api_token=4b809751552328704650aab64be9d16cd628b7924b809751552328704650aab64be9d16cd628b792","Unauthorized","401","432","116",,,,"0","0","0","0"
"1","Pipedrive API v1","Add new activity type","POST","https://api.pipedrive.com/v1/activityTypes?api_token=4b809751552328704650aab64be9d16cd628b7924b809751552328704650aab64be9d16cd628b792","Unauthorized","401","423","116",,,,"0","0","0","0"
"1","Pipedrive API v1","Delete an activity type","DELETE","https://api.pipedrive.com/v1/activityTypes/<integer>?api_token=4b809751552328704650aab64be9d16cd628b7924b809751552328704650aab64be9d16cd628b792","Unauthorized","401","411","116",,,,"0","0","0","0"
